"Unit_number";"Area_cells";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"F8";"F9";"F10";"F11";"F12";"F13";"F14";"F15";"F16";"F17";"F18";"F19";"F20"
1;79871;0.2932;0.0732;0.06;0.1019;0.0856;0.2391;0.0274;0.0333;0.0505;0.0575;0.2828;0.0671;0.0546;0.0991;0.0816;0.257;0.0373;0.0445;0.1069;0.0983
2;21191;0.1528;0.0073;0.003;0.0051;0.0561;0.1073;0.0044;0.0023;0.005;0.0487;0.212;0.0094;0.0029;0.0063;0.0545;0.118;0.0042;0.0022;0.0046;0.0576
3;2309;0.0039;0.0042;0.0016;9e-04;0.0014;0.0053;0.0012;0.0012;0.001;0.0014;0.0042;0.0018;0.0013;0.0015;0.0035;0.0059;0.0019;0.0011;8e-04;0.0013
4;4055;0;3e-04;0.0011;0.0014;0.0045;0;4e-04;0.0011;0.0017;0.0059;0;5e-04;0.0017;0.0021;0.005;0;7e-04;0.0014;7e-04;0.0028
