F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	min-5	mean-5	max-5	w-mean-5	ext2-5	
0.0230	3.8643e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.901	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0240	3.8604e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0250	3.8564e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0260	3.8525e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0270	3.8485e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0280	3.8446e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0290	3.8406e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0300	3.8367e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0310	3.8327e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0320	3.8287e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0330	3.8248e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0340	3.8208e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0350	3.8169e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.887	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0360	3.8129e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0370	3.809e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0380	3.805e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0390	3.8011e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0400	3.7971e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.884	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0410	3.7931e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0420	3.7892e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0430	3.7852e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0440	3.7813e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0450	3.7773e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0460	3.7734e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0470	3.7694e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0480	3.7655e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0490	3.7615e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0500	3.7576e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.857	0.857	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0510	3.7536e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.856	0.856	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0520	3.7496e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.856	0.856	0.883	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0530	3.7457e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0540	3.7417e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
0.0550	3.7378e+006	0.892	0.921	0.921	0.957	0.020	0.839	0.863	0.863	0.900	0.036	0.836	0.856	0.856	0.882	0.038	0.886	0.902	0.902	0.921	0.025	0.896	0.905	0.905	0.913	0.025	
