F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	min-2	mean-2	max-2	w-mean-2	ext2-2	min-3	mean-3	max-3	w-mean-3	ext2-3	min-4	mean-4	max-4	w-mean-4	ext2-4	
0.8079	7.5966e+005	0.401	0.650	0.650	0.885	0.107	0.314	0.665	0.665	0.907	0.108	0.253	0.638	0.638	0.947	0.123	0.296	0.635	0.635	0.925	0.119	
0.8089	7.5571e+005	0.400	0.649	0.649	0.885	0.108	0.313	0.664	0.664	0.907	0.108	0.252	0.637	0.637	0.947	0.123	0.295	0.634	0.634	0.925	0.120	
0.8099	7.5175e+005	0.399	0.648	0.648	0.885	0.108	0.311	0.663	0.663	0.907	0.109	0.250	0.636	0.636	0.947	0.123	0.293	0.633	0.633	0.925	0.120	
0.8109	7.478e+005	0.397	0.647	0.647	0.885	0.108	0.310	0.662	0.662	0.907	0.109	0.249	0.636	0.636	0.947	0.124	0.292	0.632	0.632	0.925	0.121	
0.8119	7.4384e+005	0.396	0.646	0.646	0.884	0.109	0.308	0.661	0.661	0.907	0.110	0.248	0.635	0.635	0.947	0.124	0.291	0.631	0.631	0.925	0.121	
0.8129	7.3989e+005	0.395	0.645	0.645	0.884	0.109	0.306	0.660	0.660	0.907	0.110	0.247	0.634	0.634	0.947	0.125	0.289	0.630	0.630	0.925	0.121	
0.8139	7.3593e+005	0.393	0.644	0.644	0.884	0.110	0.305	0.659	0.659	0.907	0.111	0.246	0.633	0.633	0.947	0.125	0.288	0.629	0.629	0.925	0.122	
0.8149	7.3198e+005	0.392	0.643	0.643	0.884	0.110	0.303	0.658	0.658	0.907	0.111	0.244	0.632	0.632	0.947	0.126	0.287	0.628	0.628	0.925	0.122	
0.8159	7.2802e+005	0.391	0.642	0.642	0.883	0.110	0.302	0.657	0.657	0.907	0.112	0.243	0.631	0.631	0.947	0.126	0.285	0.627	0.627	0.925	0.123	
0.8169	7.2407e+005	0.389	0.640	0.640	0.883	0.111	0.300	0.656	0.656	0.907	0.112	0.242	0.630	0.630	0.946	0.127	0.284	0.626	0.626	0.925	0.123	
0.8179	7.2011e+005	0.388	0.639	0.639	0.883	0.111	0.299	0.655	0.655	0.907	0.113	0.241	0.629	0.629	0.946	0.127	0.282	0.625	0.625	0.925	0.124	
0.8189	7.1616e+005	0.387	0.638	0.638	0.883	0.112	0.297	0.654	0.654	0.907	0.113	0.240	0.628	0.628	0.946	0.128	0.281	0.624	0.624	0.925	0.124	
0.8199	7.122e+005	0.385	0.637	0.637	0.882	0.112	0.295	0.653	0.653	0.907	0.113	0.239	0.627	0.627	0.946	0.128	0.279	0.623	0.623	0.925	0.125	
0.8209	7.0825e+005	0.384	0.636	0.636	0.882	0.113	0.294	0.652	0.652	0.907	0.114	0.237	0.626	0.626	0.946	0.128	0.278	0.621	0.621	0.925	0.125	
0.8219	7.0429e+005	0.382	0.635	0.635	0.882	0.113	0.292	0.651	0.651	0.907	0.114	0.236	0.625	0.625	0.946	0.129	0.277	0.620	0.620	0.925	0.126	
0.8229	7.0034e+005	0.381	0.634	0.634	0.882	0.114	0.290	0.650	0.650	0.907	0.115	0.235	0.624	0.624	0.946	0.129	0.275	0.619	0.619	0.925	0.126	
0.8239	6.9638e+005	0.380	0.632	0.632	0.881	0.114	0.289	0.649	0.649	0.907	0.115	0.234	0.623	0.623	0.946	0.130	0.274	0.618	0.618	0.925	0.127	
