"Unit";"Area";"Mean_rank";"X";"Y";"Spp_distribution_sum";"Plus_10";"Plus_1";"Plus_01";"Plus_001";"Plus_0001"
1;79871;0.749;1754.958;1194.111;9.216;26;73;80;80;80
2;21191;0.82;1451.54;1516.4;15.045;40;59;81;81;81
3;2309;0.787;1823.445;1278.649;0.671;0;21;78;81;81
4;4055;0.613;2099.275;1515.745;0.065;0;0;20;55;63
