"Feature";"Tot_prop";"Sum"
"../data/60/index_koivu_kp_5_60.img";"0.52";"836240.9375"
"../data/60/index_kuusi_kp_1_60.img";"0.61";"1406525.6250"
"../data/60/index_kuusi_kp_2_60.img";"0.15";"25893200.0000"
"../data/60/index_kuusi_kp_3_60.img";"0.10";"31713562.0000"
"../data/60/index_kuusi_kp_4_60.img";"0.15";"5000402.0000"
"../data/60/index_kuusi_kp_5_60.img";"0.49";"1914012.3750"
"../data/60/index_mlp_kp_1_60.img";"0.76";"2067920.0000"
"../data/60/index_mlp_kp_2_60.img";"0.23";"6354896.5000"
"../data/60/index_mlp_kp_3_60.img";"0.11";"4313310.5000"
"../data/60/index_mlp_kp_4_60.img";"0.21";"1540603.2500"
"../data/60/index_mlp_kp_5_60.img";"0.54";"566767.0000"
"../data/60/index_manty_kp_1_60.img";"0.67";"999686.3750"
"../data/60/index_manty_kp_2_60.img";"0.15";"11346644.0000"
"../data/60/index_manty_kp_3_60.img";"0.09";"25690722.0000"
"../data/60/index_manty_kp_4_60.img";"0.15";"19457064.0000"
"../data/60/index_manty_kp_5_60.img";"0.52";"6333210.0000"
"../data/60/mv_wrscr_60.img";"0.95";"12883.7295"
