"Unit";"Area";"Mean_rank";"X";"Y";"Spp_distribution_sum";"Plus_10";"Plus_1";"Plus_01";"Plus_001";"Plus_0001"
1;79871;0.753;1754.958;1194.111;2.139;6;20;20;20;20
2;21191;0.638;1451.54;1516.4;0.819;3;8;20;20;20
3;2309;0.761;1823.445;1278.649;0.043;0;0;18;20;20
4;4055;0.637;2099.275;1515.745;0.026;0;0;9;16;16
