"Unit";"Area";"Mean_rank";"X";"Y";"Spp_distribution_sum";"Plus_10";"Plus_1";"Plus_01";"Plus_001";"Plus_0001"
1;79871;0.783;1754.958;1194.111;8.599;26;40;40;40;40
2;21191;0.642;1451.54;1516.4;1.483;5;18;40;40;40
3;2309;0.773;1823.445;1278.649;0.098;0;0;37;40;40
4;4055;0.654;2099.275;1515.745;0.059;0;0;20;32;32
